StickerApiId,StickerName,MarketValue,Rarity,CapsuleName,TournamentEvent,TeamPlayer,Year,IconPath
,Sticker | iBUYPOWER (Holo) | Katowice 2014,240000,Remarkable,,,,,
,Sticker | Titan (Holo) | Katowice 2014,220000,Remarkable,,,,,
,Sticker | Vox Eminor (Holo) | Katowice 2014,110000,Remarkable,,,,,
,Sticker | Team Dignitas (Holo) | Katowice 2014,125000,Remarkable,,,,,
,Sticker | Team LDLC.com (Holo) | Katowice 2014,95000,Remarkable,,,,,
,Sticker | Natus Vincere (Holo) | Katowice 2014,65000,Remarkable,,,,,
,Sticker | Crown (Foil),940,Exotic,,,,,
